"","director_name","movies","imdb","imdb_avg","budget","gross","profit","rank"
"1","Steven Spielberg",20,155.9,7.795,1,1,1,786
"2","Martin Scorsese",16,125.7,7.85625,0.875,0.9375,0.8125,785
"3","Clint Eastwood",12,92.5,7.70833333333333,1,0.916666666666667,0.916666666666667,784
"4","Woody Allen",11,82.1,7.46363636363636,1,0.818181818181818,0.818181818181818,783
"5","Christopher Nolan",8,67.4,8.425,1,1,1,782
"6","Quentin Tarantino",8,65.6,8.2,1,1,1,781
"7","David Fincher",8,64.3,8.0375,1,1,1,779.5
"8","Peter Jackson",8,64.3,8.0375,1,1,1,779.5
"9","Francis Ford Coppola",8,64,8,1,0.875,0.875,778
"10","Ridley Scott",8,63.1,7.8875,1,1,1,777
"11","Robert Zemeckis",8,62.3,7.7875,1,1,1,776
"12","Richard Linklater",8,61,7.625,1,1,1,775
"13","Oliver Stone",8,59.8,7.475,1,0.875,0.875,774
"14","James Cameron",7,55.4,7.91428571428571,1,1,1,773
"15","Wes Anderson",7,53.4,7.62857142857143,1,1,1,772
"16","Stephen Frears",7,51.8,7.4,1,0.857142857142857,0.857142857142857,771
"17","Stanley Kubrick",6,48.3,8.05,1,0.333333333333333,0.333333333333333,770
"18","Alejandro G. Iñárritu",6,46.7,7.78333333333333,0.833333333333333,1,0.833333333333333,769
"19","Rob Reiner",6,46.5,7.75,1,1,1,768
"20","Tim Burton",6,46.3,7.71666666666667,1,1,1,767
"21","Guy Ritchie",6,46.2,7.7,1,1,1,765.5
"22","Paul Greengrass",6,46.2,7.7,1,1,1,765.5
"23","Bryan Singer",6,45.9,7.65,1,1,1,763.5
"24","Danny Boyle",6,45.9,7.65,1,1,1,763.5
"25","Sam Mendes",6,45.4,7.56666666666667,1,1,1,762
"26","Sam Raimi",6,45.1,7.51666666666667,1,0.833333333333333,0.833333333333333,761
"27","Steven Soderbergh",6,44.1,7.35,1,1,1,760
"28","Frank Capra",5,40.3,8.06,1,0,0,759
"29","Ron Howard",5,39.6,7.92,1,1,1,758
"30","Darren Aronofsky",5,39.1,7.82,1,1,1,757
"31","Alfred Hitchcock",5,39,7.8,1,0.2,0.2,756
"32","Ang Lee",5,38.8,7.76,1,1,1,754.5
"33","Fred Zinnemann",5,38.8,7.76,1,0,0,754.5
"34","Michael Moore",5,38.4,7.68,0.8,1,0.8,752.5
"35","Paul Thomas Anderson",5,38.4,7.68,1,1,1,752.5
"36","John Carpenter",5,37.9,7.58,1,1,1,751
"37","Brian De Palma",5,37.8,7.56,1,0.8,0.8,750
"38","Alexander Payne",5,37.1,7.42,1,1,1,748
"39","Barry Levinson",5,37.1,7.42,1,1,1,748
"40","Kevin Smith",5,37.1,7.42,1,1,1,748
"41","Sergio Leone",4,33.9,8.475,1,0.75,0.75,746
"42","Hayao Miyazaki",4,32.9,8.225,0.75,1,0.75,745
"43","David Lean",4,32,8,1,1,1,744
"44","Billy Wilder",4,31.9,7.975,1,0.25,0.25,743
"45","Sidney Lumet",4,31.9,7.975,1,0.5,0.5,742
"46","David Lynch",4,31.6,7.9,1,0.5,0.5,740.5
"47","Terry Gilliam",4,31.6,7.9,1,1,1,740.5
"48","Brad Bird",4,31.4,7.85,1,1,1,739
"49","Alfonso Cuarón",4,31.2,7.8,1,1,1,737
"50","John McTiernan",4,31.2,7.8,1,1,1,737
"51","Richard Brooks",4,31.2,7.8,0.75,0,0,737
"52","Edward Zwick",4,31.1,7.775,1,1,1,735
"53","Peter Weir",4,30.9,7.725,1,1,1,733
"54","Roman Polanski",4,30.9,7.725,1,0.5,0.5,733
"55","Spike Lee",4,30.9,7.725,1,1,1,733
"56","James Ivory",4,30.6,7.65,0.75,1,0.75,730
"57","John Lasseter",4,30.6,7.65,1,1,1,730
"58","Matthew Vaughn",4,30.6,7.65,1,1,1,730
"59","Doug Liman",4,30.5,7.625,1,1,1,727.5
"60","Lasse Hallström",4,30.5,7.625,1,0.75,0.75,727.5
"61","Jean-Pierre Jeunet",4,30.4,7.6,1,1,1,725
"62","Richard Attenborough",4,30.4,7.6,1,0.75,0.75,725
"63","Yimou Zhang",4,30.4,7.6,0.75,1,0.75,725
"64","Gus Van Sant",4,30.3,7.575,1,1,1,722
"65","James Mangold",4,30.3,7.575,1,1,1,722
"66","Tony Scott",4,30.3,7.575,1,1,1,722
"67","James Wan",4,30.2,7.55,1,1,1,719.5
"68","Shane Meadows",4,30.2,7.55,0.5,0.75,0.5,719.5
"69","David O. Russell",4,30.1,7.525,1,1,1,717.5
"70","Stephen Daldry",4,30.1,7.525,0.75,1,0.75,717.5
"71","Marc Forster",4,30.1,7.525,1,1,1,716
"72","Mike Leigh",4,30,7.5,1,1,1,714.5
"73","Zack Snyder",4,30,7.5,1,1,1,714.5
"74","F. Gary Gray",4,29.9,7.475,1,1,1,713
"75","Gore Verbinski",4,29.7,7.425,1,1,1,712
"76","Antoine Fuqua",4,29.6,7.4,1,1,1,711
"77","Neil Jordan",4,29.2,7.3,1,1,1,710
"78","Joel Schumacher",4,29.1,7.275,0.75,1,0.75,709
"79","Frank Darabont",3,25,8.33333333333333,1,1,1,708
"80","Pete Docter",3,24.7,8.23333333333333,1,1,1,707
"81","Milos Forman",3,24.4,8.13333333333333,1,1,1,706
"82","Denis Villeneuve",3,23.9,7.96666666666667,1,1,1,705
