"","state","city","certified","withdraw","cert_withdraw","reject","denied","invalidated","pending","total","rank"
"1","CALIFORNIA","SAN FRANCISCO",54336,1746,4946,0,1759,0,0,62787,1517
"2","CALIFORNIA","SAN JOSE",44305,1297,3417,0,1063,1,0,50083,1516
"3","CALIFORNIA","SUNNYVALE",30294,1104,3227,0,511,0,0,35136,1515
"4","CALIFORNIA","MOUNTAIN VIEW",23726,770,4504,0,479,0,0,29479,1514
"5","CALIFORNIA","SAN DIEGO",24028,1054,3015,0,784,0,0,28881,1513
"6","CALIFORNIA","SANTA CLARA",24232,1208,2144,0,583,0,0,28167,1512
"7","CALIFORNIA","LOS ANGELES",22731,823,1316,0,1647,0,0,26517,1511
"8","CALIFORNIA","IRVINE",15024,553,989,0,486,0,0,17052,1510
"9","CALIFORNIA","PALO ALTO",14595,591,1109,0,391,0,0,16686,1509
"10","CALIFORNIA","FREMONT",12724,375,899,0,361,0,0,14359,1508
"11","CALIFORNIA","CUPERTINO",12359,294,994,0,190,0,0,13837,1507
"12","CALIFORNIA","MILPITAS",9837,262,814,0,182,0,1,11096,1506
"13","CALIFORNIA","PLEASANTON",7811,220,487,0,162,0,0,8680,1505
"14","CALIFORNIA","REDWOOD CITY",5976,220,807,0,150,0,0,7153,1504
"15","CALIFORNIA","MENLO PARK",6064,228,639,0,124,0,0,7055,1503
"16","CALIFORNIA","FOSTER CITY",6209,228,466,0,84,0,0,6987,1502
"17","CALIFORNIA","SAN RAMON",6271,200,296,0,135,0,0,6902,1501
"18","CALIFORNIA","EL SEGUNDO",5563,154,398,0,119,0,0,6234,1500
"19","CALIFORNIA","SAN MATEO",5090,196,541,0,145,0,0,5972,1499
"20","CALIFORNIA","TORRANCE",5373,165,205,0,175,0,0,5918,1498
"21","CALIFORNIA","SACRAMENTO",4519,138,270,0,193,0,0,5120,1497
"22","CALIFORNIA","SANTA MONICA",4112,136,326,0,240,0,1,4815,1496
"23","CALIFORNIA","WOODLAND HILLS",4331,151,192,0,75,0,0,4749,1495
"24","CALIFORNIA","FOLSOM",3925,154,189,0,51,0,0,4319,1494
"25","CALIFORNIA","PASADENA",3359,110,447,0,158,0,0,4074,1493
"26","CALIFORNIA","OAKLAND",2960,102,253,0,164,0,0,3479,1492
"27","CALIFORNIA","SOUTH SAN FRANCISCO",2925,89,283,0,120,0,0,3417,1491
"28","CALIFORNIA","BURBANK",2977,84,184,0,138,0,0,3383,1490
"29","CALIFORNIA","SANTA ANA",2782,92,192,0,129,0,0,3195,1489
"30","CALIFORNIA","BERKELEY",2572,69,163,0,93,0,0,2897,1488
"31","CALIFORNIA","LA JOLLA",2068,112,494,0,70,0,0,2744,1487
"32","CALIFORNIA","GLENDALE",2265,78,191,0,89,0,0,2623,1486
"33","CALIFORNIA","LONG BEACH",2265,43,62,0,128,0,0,2498,1485
"34","CALIFORNIA","CULVER CITY",2038,56,213,0,81,0,0,2388,1484
"35","CALIFORNIA","COSTA MESA",2111,56,106,0,65,0,0,2338,1483
"36","CALIFORNIA","SAN BRUNO",1953,86,262,0,36,0,0,2337,1482
"37","CALIFORNIA","NEWARK",1950,64,206,0,68,0,0,2288,1481
